artist_name,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,artist_unique_id,artist_race_nwi
Aaron Douglas,American,American,Male,Black or African American,Not Hispanic or Latino origin,2,Non-White
Adélaïde Labille-Guiard,French,French,Female,White,Not Hispanic or Latino origin,4,White
Adolphe William Bouguereau,French,French,Male,White,Not Hispanic or Latino origin,6,White
Albert Bierstadt,German-American,Other,Male,White,Not Hispanic or Latino origin,7,White
Albert Pinkham Ryder,American,American,Male,White,Not Hispanic or Latino origin,8,White
Alexander Gardner,Scottish,Other,Male,White,Not Hispanic or Latino origin,12,White
Alexandre Cabanel,French,French,Male,White,Not Hispanic or Latino origin,14,White
Alfred Stieglitz,American,American,Male,White,Not Hispanic or Latino origin,15,White
Alfredo Guido,Argentine,Other,Male,White,Not Hispanic or Latino origin,16,White
Alvin Langdon Coburn,American,American,Male,White,Not Hispanic or Latino origin,17,White
Ana Mendieta,Cuban-American,Other,Female,White,Hispanic or Latino origin,18,White
Ando Hiroshige,Japanese,Other,Male,Asian,Not Hispanic or Latino origin,19,Non-White
André Derain,French,French,Male,White,Not Hispanic or Latino origin,20,White
André-Adolphe-Eugène Disdéri,French,French,Male,White,Not Hispanic or Latino origin,23,White
Andreas Gursky,German,German,Male,White,Not Hispanic or Latino origin,24,White
Andrew Wyeth,American,American,Male,White,Not Hispanic or Latino origin,25,White
Andy Warhol,American,American,Male,White,Not Hispanic or Latino origin,26,White
Angelica Kauffmann,Swiss,Other,Female,White,Not Hispanic or Latino origin,27,White
Anne Louis Girodet Trioson,French,French,Male,White,Not Hispanic or Latino origin,28,White
Ansel Adams,American,American,Male,White,Not Hispanic or Latino origin,30,White
Anselm Feuerbach,German,German,Male,White,Not Hispanic or Latino origin,31,White
Anselm Kiefer,German,German,Male,White,Not Hispanic or Latino origin,32,White
Antoine Jean Gros,French,French,Male,White,Not Hispanic or Latino origin,33,White
Arnold Böcklin,Swiss,Other,Male,White,Not Hispanic or Latino origin,36,White
Arshile Gorky,Armenian-American,Other,Male,White,Not Hispanic or Latino origin,37,White
Arthur B. Davies,American,American,Male,White,Not Hispanic or Latino origin,38,White
Arthur Dove,American,American,Male,White,Not Hispanic or Latino origin,39,White
Aubrey Beardsley,British,British,Male,White,Not Hispanic or Latino origin,40,White
Audrey Flack,American,American,Female,White,Not Hispanic or Latino origin,41,White
August Sander,German,German,Male,White,Not Hispanic or Latino origin,42,White
Auguste Renoir,French,French,Male,White,Not Hispanic or Latino origin,43,White
Barbara Kruger,American,American,Female,White,Not Hispanic or Latino origin,45,White
Barnett Newman,American,American,Male,White,Not Hispanic or Latino origin,46,White
Ben Shahn,American,American,Male,White,Not Hispanic or Latino origin,48,White
Benjamin West,American,American,Male,White,Not Hispanic or Latino origin,49,White
Bernard Buffet,French,French,Male,White,Not Hispanic or Latino origin,51,White
Berthe Morisot,French,French,Female,White,Not Hispanic or Latino origin,52,White
Boris Maluev,Russian,Other,Male,White,Not Hispanic or Latino origin,54,White
Bridget Riley,British,British,Female,White,Not Hispanic or Latino origin,56,White
Camille Pissarro,Danish-French,Other,Male,White,Not Hispanic or Latino origin,57,White
Cândido Portinari,Brazilian,Other,Male,White,Not Hispanic or Latino origin,58,White
