edition_number,year,book,space_ratio_per_page_total,moma_count_to_year,whitney_count_to_year,artist_unique_id
9,1991,Gardner,0.3533657745,0,0,2
10,1996,Gardner,0.3739470004,0,0,2
11,2001,Gardner,0.3032593292,0,0,2
12,2005,Gardner,0.3770489311,0,0,2
13,2009,Gardner,0.3984096898,0,0,2
14,2013,Gardner,0.4528685683,0,0,2
15,2016,Gardner,0.4822638008,0,0,2
16,2020,Gardner,0.543737727,0,0,2
14,2013,Gardner,0.4093045475,0,0,4
15,2016,Gardner,0.4125560538,0,0,4
16,2020,Gardner,0.5344869907,0,0,4
5,1970,Gardner,0.2957539022,0,0,6
6,1975,Gardner,0.2980450807,0,0,6
7,1980,Gardner,0.4005417957,0,0,6
8,1986,Gardner,0.5319994471,0,0,6
9,1991,Gardner,0.3523114355,0,0,6
10,1996,Gardner,0.3898229938,0,0,6
11,2001,Gardner,0.2182185876,0,0,6
12,2005,Gardner,0.2714168415,0,0,6
13,2009,Gardner,0.293791318,0,0,6
11,2001,Gardner,0.4561289561,2,0,7
12,2005,Gardner,0.4572575495,2,0,7
13,2009,Gardner,0.3675280847,2,0,7
14,2013,Gardner,0.3738461776,2,0,7
15,2016,Gardner,0.5057677439,2,0,7
16,2020,Gardner,0.4063573883,2,0,7
2,1936,Gardner,0.3518634513,1,0,8
3,1948,Gardner,0.4685067233,1,0,8
4,1959,Gardner,0.3145704282,1,0,8
7,1980,Gardner,0.4652054602,1,0,8
8,1986,Gardner,0.4762250328,1,0,8
9,1991,Gardner,0.3695052717,1,0,8
10,1996,Gardner,0.4611882269,1,0,8
10,1996,Gardner,0.347907643,0,0,12
4,1959,Gardner,0.501885268,0,0,14
4,1959,Gardner,0.4146781578,2,0,15
9,1991,Gardner,0.4782481752,3,0,15
10,1996,Gardner,0.5506292418,4,0,15
11,2001,Gardner,0.5125029523,4,0,15
12,2005,Gardner,0.5085150382,4,0,15
13,2009,Gardner,0.5021342826,4,1,15
14,2013,Gardner,0.4901299062,4,1,15
15,2016,Gardner,0.4993350858,4,1,15
16,2020,Gardner,0.4872974963,4,2,15
3,1948,Gardner,0.305623605,0,0,16
9,1991,Gardner,0.3215571776,3,0,17
11,2001,Gardner,0.3799598488,1,0,18
13,2009,Gardner,0.3898109195,1,2,18
14,2013,Gardner,0.3826452776,1,2,18
