local_compania,ano,origem_cacau,ingredientes,caracteristicas,percentagem_cacau,ID
U.S.A.,2019,Tanzania,"3- B,S,C","rich cocoa, fatty, bready",76%,1
U.S.A.,2019,Dominican Republic,"3- B,S,C","cocoa, vegetal, savory",76%,2
U.S.A.,2019,Madagascar,"3- B,S,C","cocoa, blackberry, full body",76%,3
U.S.A.,2021,Fiji,"3- B,S,C","chewy, off, rubbery",68%,4
U.S.A.,2021,Venezuela,"3- B,S,C","fatty, earthy, moss, nutty,chalky",72%,5
U.S.A.,2021,Uganda,"3- B,S,C","mildly bitter, basic cocoa, fatty",80%,6
U.S.A.,2021,India,"3- B,S,C","milk brownie, macadamia,chewy",68%,7
France,2012,Bolivia,"4- B,S,C,L","vegetal, nutty",70%,8
France,2012,Peru,"4- B,S,C,L","fruity, melon, roasty",63%,9
France,2013,Panama,"4- B,S,C,L","brief fruit note, earthy, nutty",70%,10
France,2013,Colombia,"4- B,S,C,L","burnt rubber,alkalyzed notes",70%,11
France,2013,Madagascar,"4- B,S,C,L","sticky, red fruit, sour",70%,12
France,2013,Burma,"4- B,S,C,L","sticky, smokey, grass",70%,13
France,2013,Brazil,"4- B,S,C,L",mild tobacco,70%,14
France,2013,Papua New Guinea,"4- B,S,C,L","mild fruit, strong smoke",70%,15
France,2013,Peru,"4- B,S,C,L","green, nutty, cocoa",70%,16
France,2013,Peru,"4- B,S,C,L","cocoa,sour,intense tangerine",70%,17
France,2013,Ecuador,"4- B,S,C,L","sandy, nutty, cocoa, fig",70%,18
France,2013,Venezuela,"4- B,S,C,L","oily, nut, caramel, raspberry",70%,19
France,2013,Peru,"3- B,S,C","sweet, cocoa, tangerine",63%,20
France,2014,Venezuela,"4- B,S,C,L","harsh, leather, earthy",70%,21
France,2014,Cuba,"4- B,S,C,L","sliglty dry, papaya",70%,22
France,2014,Venezuela,"4- B,S,C,L","nutty, mild choco, roasty",70%,23
France,2014,Venezuela,"4- B,S,C,L","astringent, nutty, chocolatey",70%,24
France,2014,Peru,"4- B,S,C,L","delicate, hazelnut, brownie",70%,25
France,2015,Togo,"4- B,S,C,L","burnt wood, earthy, choco",70%,26
France,2015,Togo,"4- B,S,C,L","roasty, acidic, nutty",70%,27
France,2015,Togo,"4- B,S,C,L","mild profile, chocolaty, spice",70%,28
France,2015,Peru,"4- B,S,C,L","grainy texture, cocoa, sweet",70%,29
France,2016,Sao Tome,"4- B,S,C,L","sweet, chocolatey, vegetal",63%,30
France,2018,Venezuela,"4- B,S,C,L","alluring aroma, powdery,nutty",70%,31
France,2018,Peru,"4- B,S,C,L","sweet, dairy, spice, cocoa",63%,32
France,2021,Mexico,"4- B,S,C,L","light color, fruit, yogurt",70%,33
U.S.A.,2015,Peru,"2- B,S",yellow fruit,70%,34
U.S.A.,2015,Peru,"2- B,S","intense, nutty, cherry, cocoa",70%,35
U.S.A.,2020,Mexico,"2- B,S","herbal, molasses, hammy",74%,36
U.S.A.,2020,Peru,"2- B,S","hot cocoa, rich, molasses",70%,37
Fiji,2011,Fiji,"3- B,S,C","sweet, sublte strawberry",60%,38
Fiji,2011,Fiji,"3- B,S,C",spicy and candy-like,80%,39
Fiji,2011,Fiji,"3- B,S,C","orange, floral, lemon",88%,40
Fiji,2011,Fiji,"3- B,S,C",cocoa and powerful tang,72%,41
Vanuatu,2019,Vanuatu,"2- B,S","unrefined, sweet, metallic",70%,42
Vanuatu,2019,Vanuatu,"2- B,S","basic, sweet, cocoa, woody",70%,43
Vanuatu,2019,Vanuatu,"2- B,S","sweet, cocoa, rubbery",70%,44
Vanuatu,2019,Vanuatu,"2- B,S","sandy, woody, spicy, sweet",70%,45
Ecuador,2009,Ecuador,"4- B,S,C,V","sandy, sweet, banana cream",55%,46
Ecuador,2009,Ecuador,"4- B,S,C,V","roasty, nutty, coffee",70%,47
Mexico,2009,Mexico,"3- B,S,C","gritty, spice, cocoa",70%,48
U.K.,2010,Madagascar,"4- B,S,C,L","strong pepper, musty",75%,49
U.K.,2010,Brazil,"4- B,S,C,L","fatty, intense, woody",75%,50
U.K.,2011,Indonesia,"4- B,S,C,L","hay, nut, berry",75%,51
France,2013,Venezuela,"5- B,S,C,V,L","sandy, dirt, ashey",75%,52
France,2013,Peru,"5- B,S,C,V,L","cardboard, dirt, roasty",75%,53
France,2014,Trinidad,"6-B,S,C,V,L,Sa","roasty, sweet, savory",65%,54
France,2014,Vietnam,"5-B,S,C,V,Sa","nutty, roasty, odd dairy",75%,55
France,2014,Madagascar,"5-B,S,C,V,Sa","citrus, fatty, dairy",75%,56
France,2017,Mexico,"6-B,S,C,V,L,Sa","strawberry, cream, gateway",75%,57
Netherlands,2017,Ecuador,"3- B,S,C","sandy, green, floral",70%,58
Netherlands,2017,Nicaragua,"3- B,S,C","sandy, sweet, nibby",70%,59
Netherlands,2017,Tanzania,"3- B,S,C","sandy, melon, banana",70%,60
Netherlands,2017,Vietnam,"3- B,S,C","sandy, sweet, roasty",70%,61
U.S.A.,2013,Venezuela,"4- B,S,C,L","sweet, moldy, off",60%,62
U.S.A.,2013,Dominican Republic,"4- B,S,C,L","sandy, sweet, dairy, spice",60%,63
U.S.A.,2013,Bolivia,"4- B,S,C,L","grit, sweet, caramel, fruit",60%,64
U.S.A.,2013,Bolivia,"4- B,S,C,L","gritty, berry, mild bitter",80%,65
U.S.A.,2013,Peru,"4- B,S,C,L","gritty, too sweet, fruit",60%,66
U.S.A.,2016,Bolivia,"3- B,S,C","sandy, sweet, pungent",60%,67
U.S.A.,2016,Peru,"3- B,S,C","sandy, sweet, sour, off",60%,68
U.S.A.,2016,Nicaragua,"3- B,S,C","powdery, sweet, molasses",60%,69
U.S.A.,2016,Ecuador,"3- B,S,C","sandy, nutty, earthy, roasty",60%,70
U.S.A.,2016,Peru,"3- B,S,C","dry, sweet, caramel",60%,71
U.S.A.,2018,Dominican Republic,"3- B,S,C","sweet, coarse, nutty",70%,72
U.S.A.,2007,Venezuela,"4- B,S,C,V","waxy, nutty, mint",70%,73
U.S.A.,2007,Madagascar,"4- B,S,C,V","spice, nut, cocoa, fruit",70%,74
U.S.A.,2007,Venezuela,"4- B,S,C,V","spicy, strawberry",70%,75
U.S.A.,2008,Indonesia,"4- B,S,C,V","sticky, nutty, high acidity",70%,76
U.S.A.,2009,Venezuela,"4- B,S,C,V","hot spice, roasty",70%,77
U.S.A.,2010,Venezuela,"4- B,S,C,V","woody, red berry, sour",70%,78
U.S.A.,2010,Dominican Republic,"4- B,S,C,V","orange, cinamon",70%,79
U.S.A.,2010,Ecuador,"4- B,S,C,V","strong spice, intense pepper",70%,80
U.S.A.,2011,Papua New Guinea,"4- B,S,C,V","tart, lemon, smoke",70%,81
Spain,2009,Ecuador,"2- B,S","waxy mouthfeel, spicy",70%,82
Spain,2009,Ecuador,"2- B,S","fatty, mushroom, off notes",85%,83
Spain,2009,Ghana,"2- B,S","dry, chalky, fudge-like",70%,84
Spain,2009,Ghana,"2- B,S","roasty,oddly sweet,marshmallow",85%,85
Peru,2013,Peru,"3- B,S,C","oily, vanilla, melon, cocoa",72%,88
Peru,2013,Peru,"3- B,S,C","oily, vegetal, nutty, cocoa",73%,89
Canada,2015,Belize,"4- B,S,C,L","roasty, brownie, nutty",64%,90
Canada,2015,Madagascar,"2- B,S","fruity, sour",66%,91
Canada,2015,Dominican Republic,"2- B,S","high roast, high astringnet",75%,92
Canada,2015,Papua New Guinea,"2- B,S","smokey, savory",63%,93
