id,nome,regiao,subregiao
AFG,Afghanistan,Asia,Southern Asia
ALB,Albania,Europe,Southern Europe
DZA,Algeria,Africa,Northern Africa
AND,Andorra,Europe,Southern Europe
AGO,Angola,Africa,Sub-Saharan Africa
AIA,Anguilla,Americas,Latin America and the Caribbean
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean
ARG,Argentina,Americas,Latin America and the Caribbean
ARM,Armenia,Asia,Western Asia
ABW,Aruba,Americas,Latin America and the Caribbean
AUS,Australia,Oceania,Australia and New Zealand
AUT,Austria,Europe,Western Europe
AZE,Azerbaijan,Asia,Western Asia
BHS,Bahamas,Americas,Latin America and the Caribbean
BHR,Bahrain,Asia,Western Asia
BGD,Bangladesh,Asia,Southern Asia
BRB,Barbados,Americas,Latin America and the Caribbean
BLR,Belarus,Europe,Eastern Europe
BEL,Belgium,Europe,Western Europe
BLZ,Belize,Americas,Latin America and the Caribbean
BEN,Benin,Africa,Sub-Saharan Africa
BMU,Bermuda,Americas,Northern America
BTN,Bhutan,Asia,Southern Asia
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean
BES,"Bonaire, Saint Eustatius and Saba",Americas,Latin America and the Caribbean
BIH,Bosnia and Herzegovina,Europe,Southern Europe
BWA,Botswana,Africa,Sub-Saharan Africa
BVT,Bouvet Island,Americas,Latin America and the Caribbean
BRA,Brazil,Americas,Latin America and the Caribbean
VGB,British Virgin Islands,Americas,Latin America and the Caribbean
BRN,Brunei Darussalam,Asia,South-eastern Asia
BGR,Bulgaria,Europe,Eastern Europe
BFA,Burkina Faso,Africa,Sub-Saharan Africa
BDI,Burundi,Africa,Sub-Saharan Africa
CPV,Cabo Verde,Africa,Sub-Saharan Africa
KHM,Cambodia,Asia,South-eastern Asia
CMR,Cameroon,Africa,Sub-Saharan Africa
CAN,Canada,Americas,Northern America
CYM,Cayman Islands,Americas,Latin America and the Caribbean
CAF,Central African Rep.,Africa,Sub-Saharan Africa
TCD,Chad,Africa,Sub-Saharan Africa
CHL,Chile,Americas,Latin America and the Caribbean
CHN,China,Asia,Eastern Asia
HKG,"China, Hong Kong SAR",Asia,Eastern Asia
MAC,"China, Macao SAR",Asia,Eastern Asia
COL,Colombia,Americas,Latin America and the Caribbean
COM,Comoros,Africa,Sub-Saharan Africa
COG,Congo,Africa,Sub-Saharan Africa
COK,Cook Islands,Oceania,Polynesia
CRI,Costa Rica,Americas,Latin America and the Caribbean
CIV,Cote d'Ivoire,Africa,Sub-Saharan Africa
HRV,Croatia,Europe,Southern Europe
CUB,Cuba,Americas,Latin America and the Caribbean
